2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:08 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=7, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=6, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=6, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=7, vehicle candidates=0
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=6, vehicle candidates=1
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=1
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=1
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=1
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=1
2026-04-16 12:00:09 | WARNING  | AlertSystem | ⚠️  BLIND SPOT ALERT — Vehicle detected in No-Zone!
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=6, vehicle candidates=1
2026-04-16 12:00:09 | DEBUG    | Pipeline | Contours total=6, vehicle candidates=1
2026-04-16 12:00:10 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=1
2026-04-16 12:00:10 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=1
2026-04-16 12:00:10 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=2
2026-04-16 12:00:10 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=2
2026-04-16 12:00:10 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=2
2026-04-16 12:00:10 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=2
